precinct,precinct_id,total_attendance,bennet first_alignment,bennet final_alignment,bennet county_delegates,biden first_alignment,biden final_alignment,biden county_delegates,buttigieg first_alignment,buttigieg final_alignment,buttigieg county_delegates,delaney first_alignment,delaney final_alignment,delaney county_delegates,gabbard first_alignment,gabbard final_alignment,gabbard county_delegates,klobuchar first_alignment,klobuchar final_alignment,klobuchar county_delegates,patrick first_alignment,patrick final_alignment,patrick county_delegates,sanders first_alignment,sanders final_alignment,sanders county_delegates,steyer first_alignment,steyer final_alignment,steyer county_delegates,uncommitted first_alignment,uncommitted final_alignment,uncommitted county_delegates,warren first_alignment,warren final_alignment,warren county_delegates,yang first_alignment,yang final_alignment,yang county_delegates
Clark - 5554,Clark - 5554,126,0,0,0,19,24,2,32,33,2,0,0,0,0,0,0,8,0,0,0,0,0,42,42,3,2,0,0,0,0,0,23,26,2,0,0,0
Clark - 5553,Clark - 5553,154,1,0,0,26,32,2,42,57,3,0,0,0,0,0,0,17,0,0,0,0,0,31,34,2,10,0,0,0,0,0,26,28,1,1,0,0
Clark - 6615,Clark - 6615,34,0,0,0,9,11,1,1,0,0,0,0,0,0,0,0,3,0,0,0,0,0,8,11,1,1,0,0,1,0,0,11,11,2,0,0,0
Washoe - 630700,Washoe - 630700,94,0,0,0,14,3,0,15,26,4,0,0,0,0,0,0,11,0,0,0,0,0,31,37,5,13,23,3,1,1,0,9,0,0,0,0,0
Washoe - 641500,Washoe - 641500,56,0,0,0,14,19,2,12,18,2,0,0,0,0,0,0,6,0,0,0,0,0,11,14,1,4,3,0,1,0,0,8,2,0,0,0,0
Clark - 1519,Clark - 1519,28,1,0,0,7,9,1,9,14,1,0,0,0,0,0,0,1,0,0,0,0,0,4,1,0,2,0,0,1,0,0,3,2,0,0,0,0
Clark - 1511,Clark - 1511,100,1,0,0,17,20,2,19,24,2,0,0,0,0,0,0,4,0,0,0,0,0,34,36,3,5,0,0,0,0,0,17,19,1,3,0,0
Clark - 7355,Clark - 7355,87,0,0,0,13,16,3,4,0,0,0,0,0,0,0,0,3,0,0,0,0,0,45,50,8,7,0,0,0,0,0,15,19,3,0,0,0
Clark - 2621,Clark - 2621,89,0,0,0,12,0,0,17,32,4,0,1,0,1,0,0,7,0,0,0,0,0,29,33,5,7,0,0,1,1,0,15,21,3,0,0,0
Clark - 5404,Clark - 5404,72,0,0,0,22,32,8,8,0,0,0,0,0,0,0,0,4,0,0,0,0,0,29,34,9,7,0,0,0,0,0,2,0,0,0,0,0
